id,qid1,qid2,question1,question2,is_duplicate
401,803,804,Why do dreams look so real?,"If you dream about some kind of harm, will there be injuries in real life?",0
402,805,806,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
403,807,808,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
404,809,810,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1
405,811,812,What are movies with incest scenes?,Are there any good incest movie?,1
406,813,814,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,0
407,815,816,"According to the International Federation of Robotics, how many robots existed in 2012?",What type of belt can be used to lift 200 Kg continuously?,0
408,817,818,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?","Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",0
409,819,820,Do you regret your divorce?,Have you ever regretted your divorce?,1
410,821,822,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,1
411,823,824,Is it right to tell a girl the you have feelings for her?,What are some cool facts about Facebook?,0
412,825,826,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
413,827,828,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",What is the syllabus for ICSE 2017 geography map?,0
414,829,830,Which is more financially beneficial: being in a firm or teaching in an architecture college?,"Why might career training programs be more beneficial than a college degree, if at all, to aspiring entrepreneurs and tycoons?",0
415,831,832,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
416,833,834,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
417,835,836,What is the biggest monster in Monster Hunter?,Is there a Monster Hunter PC game?,0
418,837,838,How can I convince people to stop blaspheming against the Holy Spirit?,Does it matter from which college you do your graduation (BCom) from for admission into a top Indian B-School even If I score high(99%+)?,0
419,839,840,Why can't I stop watching porn?,Why should / shouldn't I watch porn?,0
420,841,842,How can I start trusting any one?,How can one learn to trust again?,0
421,843,844,What's your bucket list?,What is your bucket list?,1
422,845,846,How did you first come across porn?,How were you first introduced to porn?,1
423,847,848,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0
424,849,850,Why can’t charged molecules pass through the lipid cell membrane?,Why can't sodium channels pass through potassium channels?,0
425,851,852,How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0
426,853,854,What is the best hostel booking affiliate program?,Which is the best non AC girls hostel in Srm?,0
427,855,856,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0
428,857,858,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1
429,859,860,How do I make free calls to family members on Airtel Andhra Pradesh?,How do I get Facebook badge notifications on HTC 10?,0
430,861,862,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1
431,863,864,Should I use Vicks Vapor Rub for a stuffy nose?,How do you apply Vicks Vapor rub to treat a stuffy nose?,1
432,865,866,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
433,867,868,How did early Europeans get protein before the Columbian Exchange?,How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,0
434,869,870,What is the best forum for graphic designers?,Who is the best graphic designer in israel?,0
435,871,872,Is Alex Jones a satirical show?,How is The Canterbury Tales a satire?,0
436,873,874,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?,0
437,875,876,Why can't we fall asleep on some days?,Why do we fall asleep?,0
438,877,878,Which Marvel movies have not included Stan Lee cameos?,What is your favourite Stan Lee cameo in a Marvel film?,0
439,879,880,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1
440,881,882,What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0
441,883,884,Who wrote the Kars for Kids jingle?,I am a freelance musician. How can I get into the jingle industry?,0
442,885,886,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
443,887,888,What are the minimum requirements to enter MIT?,How can I join MIT?,1
444,889,890,How do you answer a question on Quora?,What is the best thing you've ever learned on Quora?,0
445,891,892,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
446,893,894,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?,1
447,895,896,What are natural numbers?,What is a least natural number?,0
448,897,898,Is One Plus 3T 4G VoLTE enabled phone?,Which phone to buy Moto m or one plus 3t?,0
449,899,900,How do I enter a new email ID which I can access to recover my Facebook ID?,I lost all my ID. I am adopted and can't access my original birth certificate. How do I replace my ID without even a birth certificate?,0
450,901,902,How we can travel faster than light?,Is it possible to travel faster than light?,1
451,903,904,What is it like being a firefighter?,What's it like to be a firefighter?,1
452,905,906,What are the factors that causes data inconsistency in distributed platform/application?,What are the main data platform?,0
453,907,908,What are the differences between POCSO and sexual offenses in the IPC?,Do we need the IPC section 375?,0
454,909,910,"What is an alternative for the word ""is""?",What is the alternative word for creative?,0
455,911,912,What is considered an illegal screen in the NBA?,Shaquille O'Neal considers Tim Duncan a power forward therefore disqualifying Duncan from the NBA great big men discussion. Does O'Neal have a point?,0
456,913,914,Nothing excites me anymore. How do I regain that excitement?,Why do I feel like I'm excited about something when I have nothing to be excited about?,0
457,915,916,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
458,917,918,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1
459,919,920,How do I sell on Amazon?,How do I start selling on Amazon?,1
460,921,922,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1
461,923,924,What are the top 10 books one should read in his or her early 20s?,What books are worth reading in early 20s?,1
462,925,926,Which book should I start with for the GATE preparation?,What book do I start with for GATE preparation?,1
463,927,928,"What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""love begets love"" mean?",0
464,929,930,What is similar to 4Shared?,What is similar to 4shared but better?,1
465,931,932,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?,"If someone grabs you by your shirt with both their hands and tells you to shut up, is that assault and can you call the police?",0
466,933,934,Considering the current trend of information technology what is the future of print media?,What is this model's name? I see her everywhere.,0
467,935,936,What is the best recipe for chicken pizza?,What are some good pizza recipes?,0
468,937,938,What are some good places to learn mountaineering in India?,What are some good mountaineering institutes for a beginner level mountaineering course?,1
469,939,940,Do new table tennis balls damage rubbers?,How do you unlock a car with a tennis ball?,0
470,941,942,My new Xbox one S can't connect to internet during setup. Any solutions?,Can I withdraw my money from any branch of particular bank .my bank is bank of Baroda I have no Atm card and cheque book?,0
471,943,944,Is it wrong for me to be content with my life?,What is a cover story?,0
472,945,946,Is gravity only a theory?,"According to the M-theory, there are 11 dimensions. Why are only 5 dimensions in regards to gravity addressed in Interstellar?",0
473,947,948,How could I become a fighter pilot when I have less than the required eyesight?,I have terrible eyesight. Can I still become a fighter pilot in the Air Force?,0
474,949,950,Operation executive salary in Infosys?,"How do I do the Wake Back To Bed lucid dreaming technique when I think I have restless leg syndrome (regardless, my legs hurt at night.)?",0
475,951,952,Have cavemen been scientifically tested?,Have mythical creatures been scientifically tested?,0
476,953,954,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
477,955,956,How should ask my crush for her number?,What should I ask my crush?,0
478,957,958,Why do I believe that gravitation force exist?,Does gravitational force exists in all planets?,0
479,959,960,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
480,961,962,Can Congress stop Presidents from starting a major war?,What's a good source to purchase Attorneys eMail addresses? Thanks,0
481,963,964,Is it safe to lose 25 pounds in 1 month?,Is it healthy to lose 13 pounds in a month?,0
482,965,966,What are some cute shounen ai series?,When will the Pokémon series end?,0
483,967,968,Why are police lights red and blue?,Why are police lights red and/or blue?,1
484,969,970,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
485,971,972,Who owns nature?,Who owns Natural Factors?,0
486,973,974,How can I install OBB/data file on an Android?,I want to install EXE extension files in Android mobile. Is it possible?,0
487,975,976,What is garbage value? And Why do we get garbage value in c?,What is garbage value in c?,0
488,977,978,How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1
489,979,980,Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1
490,981,982,Is noon 12 am or 12 pm?,Is it good to do gym at morning and swimming at noon?,0
491,983,984,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
492,985,986,Is chocolate milk good for you?,Why is unrefrigerated milk good for you?,0
493,987,988,How should I study,What are some tricks to study effectively?,1
494,989,990,Which country is best for higher education and work?,Which is the best country for higher education after USA and UK?,0
495,991,992,What is the painting on this image?,What is this painting?,0
496,993,994,Which are the major highways in California and how are they compared to the major highways in Tennessee?,Which are the major highways in California and how are they compared to the major highways in Texas?,0
497,995,996,What's beyond our Universe?,"If space is expanding, where does the new space come from?",0
498,997,998,Is growing of hair a physical or a chemical change?,Can a bald person ever grow their hair back?,0
499,999,1000,What is the difference between culture and history?,How is chili different between cultures?,0
500,1001,1002,What does it mean when a guy says I like you?,"What does it mean when a guy says ""Be safe""?",0
501,1003,1004,"What makes a programmer ""good?""",What makes a good programmer great?,1
502,1005,1006,What will most likely cause World War III?,Is World War III imminent?,0
503,1007,1008,Is civil war likely after the US presidential election?,Is the US at risk of some type of uprising after the election?,1
504,1009,1010,Which European country is the best for asylum seekers?,What are the best countries for whistleblowers to seek asylum?,0
505,1011,1012,Where and how do the crop circles get generated?,What are crop circles?,1
506,1013,1014,Will baking soda help pass a urine test?,How does baking soda help you pass a drug test?,1
507,1015,1016,What is Zika virus and how is it transmitted?,How is Zika virus spread?,1
508,1017,1018,What is the best way to learn algebra by yourself?,How do you learn algebra 1 fast?,1
509,1019,1020,How does it feel to retake a class in college?,Does retaking subjects in college affect future job prospects?,0
510,1021,1022,Does Google Display Network require any site to have it SEO (on-page and off-page optimized) first before they can proceed with GDN? Is this possible?,How can I get my name off the first page on Google search?,0
511,1023,1024,"How hard is it to fake appearing ""spiritual"" in a Christian community?",Why did the Battle of Agincourt happen? How does it compare to the Battle of Edge Hill?,0
512,1025,1026,What is an actinomorphic flower?,Flowers: What is vaijanti?,0
513,1027,1028,What is the best place for sex?,What is the best place to have sex from?,1
514,1029,1030,Do people with anemia die younger?,Does anemia increase irritability?,0
515,1031,1032,"How do you feel about the new MacBook Pro, late 2016?",Should I get the new Macbook Pro?,1
516,1033,1034,Does covering your head while sleeping cause brain damage?,Does binge drinking cause long term brain damage?,0
517,1035,1036,What are the major differences between Chinese culture and western cultures?,What is the difference between Chinese and western culture?,1
518,1037,1038,What are scraping techniques?,What are some good free web scrapers / scraping techniques?,1
519,1039,1040,I am 29Y old. I have diabetic Type 2. Recently my sugar level was increased to 150 (fasting). I do exercise and eat whole grains. why this happening?,Where can I find the best Security Cameras?,0
520,1041,1042,Is it healthy to eat egg whites every day?,Is it healthy to eat one chicken every day?,1
521,1043,1044,What words rank the highest on Dictionary.com's difficulty index?,Can Hindi words get a place in the Oxford dictionary?,0
522,1045,1046,Why can't I feel remorse or empathy at all?,Why do I not feel remorse?,0
523,1047,1048,How many minutes of cardio a day should I do?,How many minutes of yoga can be done in a day?,0
524,1049,1050,Why is my dog biting me?,Why did my dog bite me?,0
525,1051,1052,How can I treat a severe foot sprain?,How can I get a severe foot sprain?,0
526,1053,1054,How can a severe crick in the neck be treated?,What are some symptoms of a severe crick in the neck?,0
527,1055,1056,What are the best places to recommend foreigners to visit in Nepal?,What are the best places to visit in Nepal?,1
528,1057,1058,"Who do I activate the dlc of skyrim in a laptop? Ive got it working on my computer after doing the command lines, but did the same on laptop, to no use..",I'm tired of the laptops Ive bought getting old and slow after 2ish years. Do desktops degrade as quickly? Will getting a solid state drive laptop/desktop help increase its longevity?,0
529,1059,1060,How should I prepare for HSBC GLT placement tests?,"Which company should I choose, HSBC (GLT) or Cybage Software?",0
530,1061,1062,Did any Indian writers/authors ever use a pen name?,"How badly did Donald Trump miscalculate his run would have on his ""brand"" value?",0
531,1063,1064,How do I register institute providing training in various programming languages for vocational courses as it will exempt it from the service tax?,How much marks should I score in SSC cpo to get Delhi police?,0
532,1065,1066,How imminent is world war III?,Are we heading toward World War 3?,1
533,1067,1068,How do you write a song?,How do I write a song?,1
534,1069,1070,What could be Narendra Modi's next move after demonetization?,What is next step after demonetization?,1
535,1071,1072,"If you have me, you want to share me. If you share me, you haven't got me. What am I?","If you have me, you want to share me. If you share me, you don't get me. What am I?",1
536,1073,1074,"What is an interesting fact that you know and I don't, but shouldn't?",What is the most interesting fact that most people don't know about?,1
537,1075,1076,What is the problem with controlled fusion?,Why haven't we developed a fusion reactor capable of generating more energy than it consumes? What are the problems we face?,0
538,1077,1078,Where do I find 3ds emulator for android?,Is there a working Nintendo 3DS emulator for PC?,1
539,1079,1080,"I want to start my clothes boutique in India, from where can I buy cheap wholesale clothes?",Where can I buy cheap clothes in bulk?,0
540,1081,1082,How can I become a true computer science engineer?,How do I become a good computer science engineer?,1
541,1083,1084,Is it necessary to unlock bootloader before rooting Android phones?,How ClockWorkMod works for phones NOT having bootloader unlocked?,0
542,1085,1086,What is bss engineer?,Is it right option from being Android Developer to become Translator after 3 years in software development field?,0
543,1087,1088,Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,0
544,1089,1090,What can you do in lucid dreams?,How was your experience of Lucid dreaming?,1
545,1091,1092,What does it feel like to be beautiful?,What does it feel like to be attractive and desired by many?,0
546,1093,1094,Is it possible to do CA after 12th Science?,What should be done further to apply for Ph.D fellowship from a government institution if I have cleared TIFR GS 2016 written test?,0
547,1095,1096,How can I hack someones whatsapp account?,How can I hack another WhatsApp account?,1
548,1097,1098,What is it like to study math at UCLA?,Could USC buy UCLA?,0
549,1099,1100,What is the best lesson in life?,What is the most important lesson you have learned from life?,1
550,1101,1102,What are some Interesting mobile apps?,What are the best mobile apps for recruiters?,0
551,1103,1104,How will Trump's presidency affect Indian students who are planning to do a PhD in the US?,How would Trump presidency affect Indian students in the US?,1
552,1105,1106,What are the various Batman movies in the series? (In order),What is the order of the Batman: Arkham games?,0
553,1107,1108,What are the best daily life hacks one can use to make his life easy?,What are the hacks in daily life?,1
554,1109,1110,How much weight will I lose by not eating for a week?,How much weight do I lose by purging after every time I eat?,0
555,1111,1112,What is your favourite anime character and why?,What is your favorite anime character? And why?,1
556,1113,1114,How do ATM machines work internally?,How does ATM transaction work?,0
557,1115,1116,How many Mechanical Engineers graduate from India per year?,How many mechanical engineers graduate per year in India?,1
558,1117,1118,How do I start a successful private equity firm?,What do you need to start your own private equity firm?,1
559,1119,1120,What are most underrated date activities?,What is the most underrated activity?,0
560,1121,1122,What are some common facts every mechanical engineer should know?,What should all mechanical engineering students know?,0
561,1123,1124,What can be the medium budget to visit best places in Kerala for three members (2-3 days)?,What are the best places to visit in Kerala for college students?,1
562,1125,1126,"Why is Quora Digest filled with questions about Google, IQ, and China?",Why are there so many questions about IQ questions on Quora?,0
563,1127,1128,How would you destroy the world?,How can I destroy the world?,0
564,1129,1130,How can I earn money from YouTube?,How do I make money through YouTube?,1
565,1131,1132,What are the differences between particles and molecules?,How can I entirely turn off syntax highlighting in Sublime Text for Golang?,0
566,1133,1134,"On Facebook, how can I add mutual friends?",Can I see an ordered list of the people with whom I share the most mutual friends on Facebook?,0
567,1135,1136,"What is Russian president Vladmir Putin like as a person, to his closest friends and family?","When did Putin become a public person, and what was his ""rise to fame"" like?",0
568,1137,1138,How do I start writing again?,How do I start writing?,0
569,1139,1140,If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?,How did the Big Bang happen when there wasn't any time for it to happen in?,1
570,1141,1142,How does it feel to be in a relationship than being single and how does our life changes when we are in a relationship?,Why do I want to stay single all my life after my breakup? Why do I feel like I am done with this serious relationship thing?,0
571,1143,1144,How can I start civil service exam preparation from scratch?,When should I start preparing for the civil service exam?,1
572,1145,1146,What are the non-invasive blood glucose monitoring systems abroad?,What are the non-invasive blood glucose monitoring systems in India?,0
573,1147,1148,What is the difference in pleasure between masturbation and sex?,What is the difference between sex and masturbation when it comes to pleasure?,1
574,1149,1150,"What does ""the more things change the more they stay the same"" mean?",Why do some people believe that life ends at death?,0
575,1151,1152,How do I start a solar energy business in egypt?,How do I start solar energy business?,0
576,1153,1154,"Can my PC with specs 2 GB DDR2@ RAM, Intel Core Duo 3.5 GHz, NVidia GeForce GT 610 3gb DDR3 run Assassin's Creed Syndicate and GTA V?",Does web Methods has future after 5 to 10 years from now?,0
577,1155,1156,Do you have any psychic abilities?,Do you have psychic power?,1
578,1157,1158,How do I manage time for studies?,How do you manage time between work and study?,0
579,1159,1160,What is the academic calendar at XLRI?,Is it possible to give usmele step 1 after 8 years of gap?,0
580,1161,1162,What is your take on Urjit Patel as the new RBI governor?,Is Urjit Patel is right person for RBI Governor?,1
581,1163,1164,Why do you want to be to president?,Would you want to be President?,0
582,1165,1166,Why India does not have friendly relations with it's neighbouring countries?,How are India's relations with the U.S.A.?,0
583,1167,1168,Do Trump voters care that he has reneged all his campaign promises?,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,1
584,1169,1170,"Can I learn while sleeping? If so, how?",How can I efficiently learn while sleeping?,1
585,1171,1172,Can you play Asian Playstation 4 games on a European Playstation?,Can you play Asian Playstation 4 games on a European Playstation 4?,0
586,1173,1174,How do I stop being addicted to porn?,How can I stop watching porn?,1
587,1175,1176,"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?","Why did the UK have bad living standards in the 70s/80s, but better now?",0
588,1177,1178,How do I work with machine learning researchers after graduation?,How can undergraduate help with machine learning research?,0
589,1179,1180,What is the future for iOS Developers?,"As of 2015, what is the future of iOS development?",0
590,1181,1182,What is the meaning of life? Whats our purpose on Earth?,What do you feel is the purpose of life?,1
591,1183,1184,How do I be a boyfriend?,How does a girl get a boyfriend?,0
592,1185,1186,How is time travel possible?,Do you think time travel is possible?,1
593,1187,1188,How can one get a fuller face?,How do I do to get fuller face?,1
594,1189,1190,Is it too late for me at the age of 25 thinking to start a career in photography?,I want to start my career as a photographer at age of 25. Is it too late?,1
595,1191,1192,What’s the best time to have sex?,When will the best time for having sex?,1
596,1193,1194,Can we weld steel and aluminum together?,Why can't steel and aluminum be welded together?,0
597,1195,1196,Which YouTube video has the highest like/dislike ratio?,How is it possible for a YouTube video to have more likes/dislikes than views?,0
598,1197,1198,What is solution to Kashmir issue?,Is it possible for the Sharif government to resolve the conflicts in Kashmir?,0
599,1199,1200,"If you dug a hole through the earth, and came out the other side what would happen?",If I dug a huge hole in the ground in a straight line what would happen when I reach the opposite side of the Earth? Would my head or my feet come out first?,0
600,1201,1202,Can we create free energy?,How do we make free energy?,1
601,1203,1204,What should I do for Web design?,What Is Web Design?,0
602,1205,1206,What's the funniest highbrow joke you've ever heard?,What are the funniest jokes / stories you ever heard?,1
603,1207,1208,How do I find the phenotypic ratio?,What is a phenotype ratio?,0
604,1209,1210,Why does Saturn benefit a house it sits in slowly?,Why does time seem to pass so slowly when you are in a boring lecture?,0
605,1211,1212,Who is the most academically qualified Bollywood celebrity?,Which bollywood celebrity has his/her own jet?,0
606,1213,1214,"Is there a difference in quality between wired and wireless headphones? If so, why?",What are the differences between having BOSE headphones in the ear and around the ear?,0
607,1215,1216,What are some movies that everyone needs to watch at least once in life?,What movies would you recommend everyone to watch?,1
608,1217,1218,Can World War 3 ever take place?,Is World War 3 more imminent than expected?,1
609,1219,1220,How can eating prunes help during a constipation?,Does eating prunes help with constipation?,1
610,1221,1222,You have given all statement as correct in UNCCD question in CSE prelim 2016. While many coachings have taken 2nd statement as wrong.?,Have you ever been told any condescending statement by your elders to prove their point in question ?,0
611,1223,1224,What would be today’s technology had we never realized the value of binary numbers and harnessed it to produce digital technology?,Would the world be less technologically advanced if the two world wars had never occurred?,0
612,1225,1226,What is the best way to invest in oil and natural gas?,What is the minimum investment If I want to buy oil and gas royalties?,0
613,1227,1228,Is Arnab Goswami pro-BJP?,Are Quorans supportive of Modi?,0
614,1229,1230,What are some good sources for learning NuGet?,What is a good source to learn mathematica?,0
615,1231,1232,How would do you describe a person with lots of interests?,What are some examples of how to describe a person in a positive light?,0
616,1233,1234,Is it possible to turn off indicator light on a dahua camera?,What happens when you fly into a country but they refuse you entry?,0
617,1235,1236,Why is Barack Obama so important for the world?,Why is Barack Obama so important to the world?,1
618,1237,1238,What is the reason Pakistan supports terrorism?,Has Pakistan become a safe haven for global terrorism?,1
619,1239,1240,How do I can stop hairfall?,How can I stop hairfall?,1
620,1241,1242,"In your opinion, what is the best classical song of all time?",What's the best classical music piece of all time?,1
621,1243,1244,What are some unusual aspects about politics and government in Hungary?,What are some unusual aspects about politics and government in Singapore?,0
622,1245,1246,What is the aim?,What is the aim of science?,0
623,1247,1248,How should I respond to my boss who fired me via email?,Is it okay to fire someone via email?,0
624,1249,1250,What are cheap and budget stay options in North Goa?,What are some nice budget places to stay in Goa?,0
625,1251,1252,Is there any other website similar to Quora?,Are there any website like Quora?,1
626,1253,1254,What are the conditions in European refugee camps?,How are the conditions inside European Refugee Camps?,1
627,1255,1256,"What is the opposite of ""homebird""?",What is the opposite of take off?,0
628,1257,1258,How do you know that your fiance loves you?,What are the things that you love the most about your fiance?,0
629,1259,1260,Can somebody explain to me how to do this problem with steps?,Can somebody explain to me how to do with steps this little problem?,0
630,1261,1262,How do I develop my presence of mind?,How can I increase my presence of mind?,1
631,1263,1264,Mathematical Fallacies: What is wrong in this proof that 2+2 = 5?,How would mathematics change had 2 plus 2 been equal to 5?,0
632,1265,1266,Will it help CIBIL score if I pay off my written-off amount?,Does my CIBIL score gets impacted if I only pay the minimum due amount?,0
633,1267,1268,Should the Hobbit be considered a canonical Tolkien work?,"What is the proper, canonical spelling of Middle-earth in Tolkien's works?",0
634,1269,1270,What do Japanese think about Malaysian?,What do Malaysians think about indians?,0
635,1271,1272,Is the Har Ki Dun trek easy?,Can I take 10 month baby to base camp of Har ki dun trek?,0
636,1273,1274,What are the good websites to learn C programming for begineer?,How can we learn c programming?,1
637,1275,1276,Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,1
638,1277,1278,"If the United States has a female president, will her husband be called the first gentleman? What will Bill Clinton be called if Hillary is elected?","If a single woman were elected President of the United States, would she have a First Lady or First Gentleman?",0
639,1279,1280,How can I get MOOC/E-learning through online web and video courses related to filmmaking & production developed by Indian professors?,How can I get MOOCs/E-learning through online web and video courses related to photography developed by Indian professors?,0
640,1281,1282,Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?",0
641,1283,1284,Why do people hate twilight saga?,Why do people hate Twilight so much?,1
642,1285,1286,Do you believe imperialism left a positive or negative legacy in the Indian subcontinent and in Africa?,Stepping into corporate life from being a student. How does that feel?,0
643,1287,1288,Why is C the best programming language?,"Lua and C, which one is the best programming language for embedded systems?",0
644,1289,1290,How can I improve my spoken English ability?,How can I improve my English speaking .?,1
645,1291,1292,How can I have gay sex?,How can I be gay and dislike gay sex?,0
646,1293,1294,I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?,"I am in tenth grade at a high school in Ontario, Canada. I would really love to do an exchange with a student from Europe. Any ideas on how I can go about doing this?",0
647,1295,1296,How do I make money with YouTube?,How do I make money through YouTube?,1
648,1297,1298,How do I find love in life?,How do I find the love of my life?,1
649,1299,1300,"Which option is better to reduce weight, swimming or gym?","Is it possible to burn 1000 calories each day? If yes, how?",0
650,1301,1302,Is there any way to get rid of gynecomastia?,How can I get rid of man boobs?,1
651,1303,1304,Which payment gateway in Saudi that using to collect and pay money from/to multiple ?,"Which are all the stress free, relatively easy to get jobs in India that pay a decent sum of money and allow you to pursue other interests?",0
652,1305,1306,Are there any scientific reasons behind Hindu temples?,What is the scientific reason behind visiting temples?,1
653,1307,1308,Is (male) circumcision required in Islam?,Is circumcision allowed in Islam?,0
654,1309,1310,Where can I get super high quality photos for any photo booth services in Sydney?,Where can I get professional photo booths service in Sydney?,1
655,1311,1312,How can I find out whom I sent a friend request to on Instagram?,How do you send a friend request on Instagram?,0
656,1313,1314,How can I control on my anger?,How can someone control their anger?,1
657,1315,1316,What are genders?,What is Gender Profiling?,0
658,1317,1318,How do I get off Quora?,How do get out of Quora?,1
659,1319,1320,How long can raw and cooked sausage last refrigerated?,How long does onigiri last if left refrigerated? How can it be kept longer?,0
660,1321,1322,What are the best available smartphones gadgets?,What are some of the best smartphones technology gadgets?,1
661,1323,1324,How does it feel to be a closeted gay in India?,How does it feel to be homosexual in India?,1
662,1325,1326,Can we switch roles at Amazon?,How important is the role of TPM at Amazon?,0
663,1327,1328,What happens if dictatorship is continuing in the present days?,What happens if a dictatorship continues in the present day?,1
664,1329,1330,What makes a great cup of coffee great?,What makes a perfect cup of coffee?,1
665,1331,1332,Is the US election rigged?,Was the US election rigged?,1
666,1333,1334,Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?,"Is Gayle Laakmann McDowell planning on publishing any more books? If so, what is she working on?",0
667,1335,1336,What is fermentation? What are some products of fermentation?,What are some fermented products?,0
668,1337,1338,"What do you think about my short film, ""ColorShift""?",What do you think about my short film?,0
669,1339,1340,Should there be a war between India and Pakistan for Kashmir?,Why is there a conflict between India and Pakistan on Kashmir?,0
670,1341,1342,What is the best way to get you food stamp card?,How can I get food stamps in college?,0
671,1343,1344,"What are some real world example of encapsulation and abstraction and how are they different, yet related?",What are some examples of recursion in the real world?,0
672,1345,1346,What are ways to deal with fabricate security and insurance of android application?,How do find best applications for android security?,0
673,1347,1348,What is the best accordion for beginners to learn on?,How difficult would it be to learn how to play the accordion if I know how to play the piano?,0
674,1349,1350,Role of junior leaders in Indian army?,What is the role of the Indian army?,0
675,1351,1352,What's your opinion about the decision on removal of 500 and 1000 rupees currency notes?,What is the use of demonetizing Rs. 500 & Rs. 1000 notes?,1
676,1353,1354,What are some of the most mind-blowing facts about Bengaluru?,What are some interesting facts about Bengaluru?,1
677,1355,1356,"If both the parents have blood group B+, can the child have A+?",If both my parents have blood group B+ can I be A+?,0
678,1357,1358,Which book is best for Neet chemistry?,Which is the best book for chemistry for NEET?,1
679,1359,1360,What is the essence of enlightenment?,What is enlightenment?,0
680,1361,1362,Why are so many questions posted to Quora that are so easily answered by using Google?,Why do many Quora users ask questions they could look up online?,1
681,1363,1364,How should I answer if an interviewer asks me to sell a pen or any other product as I am pursuing a MBA?,What should be the answer if your interviewer asks you to sell his pen in front of him?,0
682,1365,1366,What are some great side dishes for a minestrone soup?,"68.44% of product passes the process spec.To pass, the product must be close to average. How many standard deviations away does 68.44% represent?",0
683,1367,1368,How much is the maximum gold you can take when flying from India to USA?,Why don't we fly east to go from India to USA?,0
684,1369,1370,"If my reservation status is RAC, does it mean the seat has been confirmed?","My family tickets have changed from RAC to CNF (Confirmed), will all of us have adjacent seats? After preparation of charts?",0
685,1371,1372,How does a new website protect its design and user interface from copycats?,What is a way to design a beautiful user interface?,0
